AgencyRef,AgencyName,Addr1,Addr2,City,State,Zip,Phone,County,Group
06701,WEST END NEIGHBORHOOD HOUSE FC,710 N LINCOLN STREET,,WILMINGTON,DE,19805,(302)658-4171,NEW CASTLE,FOOD CLOSET
07081,CC-Casa San Francisco FC,127 Broad Street,P.O Box 38,Milton,DE,19968,(302)684-8694,SUSSEX,FOOD CLOSET
09901,ST HELENA'S OUTREACH FC,602 PHILADELPHIA PIKE,,WILMINGTON,DE,19809,(302)764-0325,NEW CASTLE,FOOD CLOSET
1000012,Ellendale UMC Open Arms pantry,603 E Main Street,,Ellendale ,DE,19941,(302)422-9160,SUSSEX,FOOD CLOSET
11501,Pantry Of Hope-ABC- Food Closet,2020 Firedancer Lane,716 Pulaski Highway-service add,Bear,DE,19701,(302)276-1676,NEW CASTLE,FOOD CLOSET
11601,HOLY CROSS-FC,631 S STATE STREET,C/O Lloyd Maraist,DOVER,DE,19901,(302)674-5780,DELAWARE KENT,FOOD CLOSET
13201,Joseph's Storehouse- DAGSBORO CHURCH OF GOD FC,32224 Dupont Blvd,,DAGSBORO,DE,19939,(302)732-6550,SUSSEX,FOOD CLOSET
13301,CALVARY ASSEMBLY OF GOD - FC,1141 E LEBANON ROAD,,DOVER,DE,19901,(302)697-7776,DELAWARE KENT,FOOD CLOSET
17701,The Renewal Center-FC- UAME Church,REV DONIA G COPELAND,305 Bayard Street,DELAWARE CITY,DE,19706,(302)834-5407,NEW CASTLE,FOOD CLOSET
18501,Christian Storehouse-FC,PO BOX 239,"149 Mitchell St, Millsboro",MILLSBORO,DE,19966,(302)934-8151,SUSSEX,FOOD CLOSET
200011,Emanuels House,PO Box 370,370 White Street (29395),Millsboro ,DE,19966,(302)934-5583,SUSSEX,FOOD CLOSET
200131,BLESSINGS UNLIMITED FOOD PANTRY ,36759 Millsboro Hwy,,Millsboro,DE,19966,(302)238-7370,SUSSEX,FOOD CLOSET
200191,EAGLES NEST MINISTRIES ,PO Box 129 ,26633 Zion Church Rd,Milton,DE,19968,(302)684-4983,SUSSEX,FOOD CLOSET
200431,Hillcrest Bellefont UMC,400 Hillcrest Ave,,Wilmington,DE,19809,(302)764-3145,NEW CASTLE,FOOD CLOSET
200506,Mt. CARMEL CHURCH OF THE LIVING GOD-FOOD CLOSET,117 N West Street,,Dover,DE,19904,(302)465-0630,DELAWARE KENT,FOOD CLOSET
201071,Clarence Street Church of God FC,P.O. Box 817,service add-744 Clarence Street,Seaford,DE,19973,(302)448-0852,SUSSEX,FOOD CLOSET
201091,Brandywine Community UMC- FC,2200 N Market Street,,Wilmington ,DE,19802,(302)652-5554,NEW CASTLE,FOOD CLOSET
201101,Shechinah Empowerment Center ( food closet),231 S. Race st.,,Georgetown,DE,19947,(302)858-4467,SUSSEX,FOOD CLOSET
201261,St. John the Apostle Food Pantry,506 Seabury Avenue,,Milford,DE,19963,(302)422-7253,DELAWARE KENT,FOOD CLOSET
201281,Rick VasnStory (RVRC)- Food closet,500west 2nd street,,Wilmington,DE,19801,(302)691-7946,NEW CASTLE,FOOD CLOSET
210091,CHRIST OUR KING FC,2810 North Monroe Street,,Wilmington,DE,19802,(302)762-4140,NEW CASTLE,FOOD CLOSET
210201,GREAT COMM. OUTREACH ,,628 Townsend St,Wilmington,DE,19804,(302)798-0964,NEW CASTLE,FOOD CLOSET
215961,People's Baptist Church,50 South Street,Hamilton Park,New Castle ,De,19720,(302)658-6218,NEW CASTLE,FOOD CLOSET
220011,CAPE HENLOPEN FOOD BASKET FC,P.O. Box 168-Mailing Address-Rehobo,37510 Oyster House Road Rehoboth,Nassau,DE,19969,(302)226-0165,SUSSEX,FOOD CLOSET
25101,AIDS DELAWARE INC-FC,SUITE 315,100 W 10TH STREET,WILMINGTON,DE,19801,(302)652-6776,NEW CASTLE,FOOD CLOSET
35100,St. Phillip's Lutheran Church,5320 Limestone Rd,,Wilmington,DE,19808,(302)690-9159,NEW CASTLE,FOOD CLOSET
35101,St. Phillips- Food Pantry,5320 Limestone Road,,Wilmington,DE,19808,(302)690-9159,NEW CASTLE,FOOD CLOSET
37001,UAW LOCAL 1183-FC,698 OLD BALTIMORE PIKE,,NEWARK,DE,19713,(302)738-4500,NEW CASTLE,FOOD CLOSET
400131,Lake Forest Church Asso,PO Box 101 (Mailing),102 Dorman St. (Physical Add.),Harrington,DE,19952,(302)222-8404,DELAWARE KENT,FOOD CLOSET
40411,MILLSBORO SDA CHURCH,"30007 Cordry Rd., P.O. BOX 512",,MILLSBORO,DE,19966,(302)945-2260,SUSSEX,FOOD CLOSET
40511,MILFORD COMMUNITY PANTRY,20 NORTH CHURCH STREET,,MILFORD,DE,19963,(302)422-8111,SUSSEX,FOOD CLOSET
48001,Appoquinimink State Service Center,122 SILVER LAKE ROAD,,MIDDLETOWN,DE,19709,(302)378-5770,NEW CASTLE,FOOD CLOSET
48002,DELAWARR STE SERCNTR-FC,500 ROGERS ROAD,,NEW CASTLE,DE,19720,(302)577-2970,NEW CASTLE,FOOD CLOSET
48004,PORTER SRVCENTR-FC,509 WEST 8TH STREET,,WILMINGTON,DE,19801,(302)777-2803,NEW CASTLE,FOOD CLOSET
48005,Williams State Service Center,805 RIVER ROAD,,DOVER,DE,19901,(302)857-5000,DELAWARE KENT,FOOD CLOSET
48006,Milford State Service Center,13 SOUTHWEST FRONT STREET, 11 N. Church street,MILFORD,DE,19963,(302)424-7230,SUSSEX,FOOD CLOSET
48007,Adams State Service Center (Georgetown),546 S BEDFORD STREET,,GEORGETOWN,DE,19947,(302)856-5574,SUSSEX,FOOD CLOSET
48009,HUDSON ST SRVC. CNTR. FC,501 OGELTOWN ROAD,,NEWARK,DE,19711,(302)283-7500,NEW CASTLE,FOOD CLOSET
48015,Churchman's Social Service Center,84 B Christiana Road,,New Castle,DE,19720,(302)395-6740,NEW CASTLE,FOOD CLOSET
48016,Robscott Social Srvce  Center,153 Chestnut Hill Road,,Newark,DE,19711,(302)368-6725,NEW CASTLE,FOOD CLOSET
48017,Blue Hen (old Carroll's Plaza)  State Service- FC,655 South Bay Road suite 21,,Dover,DE,19901,(302)672-9526,DELAWARE KENT,FOOD CLOSET
48018,Belvedere State Service Center,310 Kiamensi Road,,Wilmington ,DE,19804,(302)995-8545,NEW CASTLE,FOOD CLOSET
48021,BRIDGEVILLE STATE SERVICE CNTR,400 MILL STREET,,BRIDGEVILLE,DE,19933,(302)337-8262,SUSSEX,FOOD CLOSET
48031,SHIPLEY STATE SERVICE CENTER,350 VIRGINIA AVENUE,,SEAFORD,DE,19973,(302)628-2000,SUSSEX,FOOD CLOSET
48041,LAUREL STATE SERVICE CENTER,440 N. POPLAR STREET,,LAUREL,DE,19956,(302)875-6943,SUSSEX,FOOD CLOSET
48061,PYLE STATE SERVICE CENTER,34314 Pyle Center rd,,FRANKFORD,DE,19945,(302)732-9501,SUSSEX,FOOD CLOSET
48062,Smyrna State Service Center,200 South DuPont Boulevard,Suite 101,Smyrna ,DE,19977,(302)514-4500,DELAWARE KENT,FOOD CLOSET
48063,Camby Park Social Service Center FC,1920 Maryland Avenue,,Wilmington ,DE,19805,(302)498-5556,NEW CASTLE,FOOD CLOSET
48111,MAMIE WARREN CENTER-FC,1775 WHEATLEYS POND RD,,SMYRNA,DE,19977,(302)653-4078,DELAWARE KENT,FOOD CLOSET
48951,EVANGELISTIC TEMPLE OF TRUTH-FC,1300 Elm Street,Service address,Wilmington,De,19805,(302)276-2954,NEW CASTLE,FOOD CLOSET
500510,FBD Food Closet Program Milford,1040 Mattlind Way,,Milford,De,19963,(302)424-3301,DELAWARE KENT,FOOD CLOSET
500701,FBD-Hurds Crossing Apartments-CSFP,94 Hurds Boulevard,,Felton,DE,19943,(302)284-4753,DELAWARE KENT,FOOD CLOSET
72101,Asbury UMC- Food Closet,300 East Basin Road,,New Castle,DE,19720,(302)328-5649,NEW CASTLE,FOOD CLOSET
80091,"THE LIGHTHOUSE, INC Food Closet",6 SOUTH RAILROAD AVENUE,,CAMDEN,DE,19934,(302)697-1472,DELAWARE KENT,FOOD CLOSET
83801,CENTENARY UNITED METHODIST FC,200 W. Market St.,,LAUREL,DE,19956,(302)875-3983,SUSSEX,FOOD CLOSET
90921,"Harvest Ministries, Inc Fc (Sister Share Only)",PO box 506,,Delmar,DE,19940,(302)846-3001,SUSSEX,FOOD CLOSET
910002,Stein Highway Church of God FC- Lighted Pathways,P.O.Box 640   (Mailing Add.),425 E Stein Hwy.  (Physical Add.),Seaford,DE,19973,(302)629-8583,SUSSEX,FOOD CLOSET
20124,FBD-Limen House- Candy ONLY,600 West 10th Street,,Wilmington,DE,19801,(302)652-1125,NEW CASTLE,HOLIDAY HELPERS
20125,FBD-Gaudenzia- Candy ONLY,604 W 10th st.,,Wilmington,DE,19801,(302)421-9025,NEW CASTLE,HOLIDAY HELPERS
05611,SALVATION ARMY ARC - ONSITE,107 S MARKET STREET,,WILMINGTON,DE,19801,(302)654-8808,NEW CASTLE,HOUSING PROGRAMS
45699,FBD-CSA ,14 Garfield Way,,Newark ,DE,19713,(302)292-1305,NEW CASTLE,LIFE SKILLS
03805,LIFE MASS DISTRIBUTION,LUTHERAN COMMUNITY SERVICES,1301 N. Broom Street ,WILMINGTON,DE,19806,(302)293-6176,NEW CASTLE,MASS DISTRIBUTION
03808,LIFE ST PAULS LUTHERAN CHURCH HOPE,701 South College Ave,,Newark,DE,19713,(302)654-8886,NEW CASTLE,MASS DISTRIBUTION
03809,LIFE ARBOR MANAGEMENT,431 Old Forge Rd,,New Castle ,DE,19702,(302)837-7049,NEW CASTLE,MASS DISTRIBUTION
03811,LUTHERAN COMMUNTIY SERV.MAIN TOWERS,330 East Main St,,Newark,DE,19711,(302)837-7049,NEW CASTLE,MASS DISTRIBUTION
03816,LCS-Haven of Caring,604 N. Walnut st,,Wilmington,DE,19801,(302)654-8886,NEW CASTLE,MASS DISTRIBUTION
03817,LCS-Westminster Presbyterian,1506 W 13th Street,,Wilmington ,DE,19806,(302)654-8886,NEW CASTLE,MASS DISTRIBUTION
04005,NEIGH HSE MIDD-FC,219 WEST GREEN STREET,,MIDDLETOWN,DE,19709,(302)378-7217,NEW CASTLE,MASS DISTRIBUTION
201169,FBD- Palmer Senior Mobile Pantry Kent ,1040 Mattlind Way,,Milford,DE,19963,(302)444-8129,DELAWARE KENT,MASS DISTRIBUTION
03806,LIFE- HOPE LUTHERAN MOBILE PANTRY,,230 Christiana Road,New Castle,DE,19720,(302)654-8886,NEW CASTLE,MOBILE PANTRY
03812,LIFE - Shiloh Mobile Pantry,215 West 23rd St.,,Wilmington,DE,19802,(302)654-8886,NEW CASTLE,MOBILE PANTRY
45688,FBD-Back Packs- New Castle,14 Garfield Way,,Newark,DE,19713,(302)444-8128,NEW CASTLE,MOBILE PANTRY
45689,FBD-Back Packs- Kent County,1040 Mattlind Way,,Milford ,DE,19963,(302)444-8128,DELAWARE KENT,MOBILE PANTRY
45690,FBD-Back Packs- Sussex County,1040 Mattlind Way,,Milford,DE,19963,(302)444-8128,SUSSEX,MOBILE PANTRY
45698,FBD MOBILE PANTRY-NCC (Truck),14 Garfield Way,,Newark,DE,,(___)___-____,NEW CASTLE,MOBILE PANTRY
45701,FBD-Fresh Prescription Program,14 Garfield Way,,Newark,DE,19713,(302)292-1305,NEW CASTLE,MOBILE PANTRY
500501,FBD-Terry Apartments CSFP,2400 N Broom Street,CSFP Only,Wilmington ,DE,19802,(302)655-6661,NEW CASTLE,MOBILE PANTRY
500502,FBD-Luther Towers I- CSFP,1201 N. Harrison Street,,Wilmington,DE,19806,(302)652-3737,NEW CASTLE,MOBILE PANTRY
500503,FBD-Luther Towers II- CSFP,1420 North Franklin Street,,Wilmington,DE,19806,(302)654-4491,NEW CASTLE,MOBILE PANTRY
500504,FBD-Modern Maturity Center- CSFP,1121 Forrest Ave,,Dover,DE,19904,(302)674-1200,DELAWARE KENT,MOBILE PANTRY
500505,FBD-Luther Village- CSFP,101 Babb Drive # 1000,X 10,Dover,DE,19901,(302)674-3780,DELAWARE KENT,MOBILE PANTRY
500506,FBD-Luther Towers- CSFP,430 Kings Hwy,x10,Dover,DE,19901,(302)674-3780,DELAWARE KENT,MOBILE PANTRY
500508,FBD-Sacred Heart Village CSFP,917 North Madison St.,,Wilmington,DE,19802,(302)654-5407,NEW CASTLE,MOBILE PANTRY
500509,FBD- Windsor Aparments-CSFP,500 N. Walnut Street,(was Macedonia),Wilmington,DE,19801,(302)292-6821,NEW CASTLE,MOBILE PANTRY
500511,FBD-Macedonia @ Baynard Apts.-CSFP,309  W 18th Street,,Wilmington ,DE,19802,(302)765-2018,NEW CASTLE,MOBILE PANTRY
500513,FBD- Milford Produce for Childrens Feeding,1040 Mattlind Way,,Milford,DE,,(302)424-3301,DELAWARE KENT,MOBILE PANTRY
500516,FBD-Los Jardines- CSFP,1000 W 5th St,CSFP only,Wilmington ,DE,19805,(302)652-6391,NEW CASTLE,MOBILE PANTRY
500517,FBD-Wilmington Senior Center-CSFP,1901 N Market Street,CSFP only,Wimington ,DE,19802,(302)651-3427,NEW CASTLE,MOBILE PANTRY
500518,FBD-George Reed Village CSFP,Independence Circle (Culdesac),parking lot of development,Newark,DE,19711,(302)444-8077,NEW CASTLE,MOBILE PANTRY
500519,FBD-Parkview Senior Apts- CSFP,1800 N. Broom Street,CSFP Only- FBD ran,Wilmington ,DE,19802,(302)444-8077,NEW CASTLE,MOBILE PANTRY
500520,FBD-Marydale Retirement Village-CSFP,135 Jeandell Drive,CSFP Only,Newark,DE,19713,(302)368-2784,NEW CASTLE,MOBILE PANTRY
500522,FBD-Delmar Crossing Apts. Villas I & II- CSFP,600 Magnolia Drive #601,,Delmar ,DE,19973,(302)846-3343,SUSSEX,MOBILE PANTRY
500523,"FBD-PDH Ministries, Inc.-CSFP",1401 A Street,"Luz Berrios- 650-2685, second contc",Wilmington,DE,19801,(302)656-2021,NEW CASTLE,MOBILE PANTRY
500524,FBD-St. Patrick's Center-CSFP,107 East 14th Street,,Wilmington ,DE,19801,(302)652-6219,NEW CASTLE,MOBILE PANTRY
500525,FBD-Claymont CC-CSFP,3301 Green Street,,Claymont,DE,19703,(302)374-0707,NEW CASTLE,MOBILE PANTRY
500527,FBD-Arbor Mng Main Towers-CSFP,330 East Main Street,,Wilmington ,DE,19711,(302)837-7049,NEW CASTLE,MOBILE PANTRY
500528,FBD-Arbor Mng Chelten Towers-CSFP,431 Old Forge Road,,New Castle ,DE,19720,(302)837-7049,NEW CASTLE,MOBILE PANTRY
500533,FBD-Mamie Warren Senior C-CSFP,1775 Wheatley's Pond Road,,Smyrna,DE,19955,(302)653-4078,DELAWARE KENT,MOBILE PANTRY
500534,FBD-Calvary Assembly of God-CSFP,1141 East Lebanon RD,,Dover,DE,19901,(302)743-8775,DELAWARE KENT,MOBILE PANTRY
500536,FBD-Milford Branch-CSFP,1040 Mattlind Way,,Milford,DE,19963,(302)393-2010,DELAWARE KENT,MOBILE PANTRY
500537,FBD-St. Bernadette-CSFP,109 Dixon Street,,Harrington,DE,19952,(302)398-8269,DELAWARE KENT,MOBILE PANTRY
500538,FBD-Casa SanFrancisco-CSFP,127 Broad Street,,Milton,DE,19968,(302)684-6894,SUSSEX,MOBILE PANTRY
500540,FBD-Indian River Senior Center-CSFP,214 Irons Ave.,,Millsboro,DE,19966,(302)393-2010,SUSSEX,MOBILE PANTRY
500541,FBD-Jefferson Apartments-CSFP,825 Kings Highway,,Lewes ,DE,19958,(302)393-2010,SUSSEX,MOBILE PANTRY
500542,FBD-Herlihy Apartments-CSFP,320 east 5th Street,,Wilmington ,DE,19801,(302)444-8077,NEW CASTLE,MOBILE PANTRY
500543,FBD-Marrows Court Apt-CSFP,100 A Witherspoon Lane,,Newark,DE,19713,(302)453-9596,NEW CASTLE,MOBILE PANTRY
500549,FBD-Huling Cove- CSFP,142-306 Savannah Road,,Lewes ,DE,19958,(302)645-7630,SUSSEX,MOBILE PANTRY
500550,FBD-Silver Lake Apartments- CSFP,14 Garfield Way,,Newark,DE,19713,(302)292-1305,DELAWARE KENT,MOBILE PANTRY
500551,FBD-Seaford Meadows Apartments-CSFP,122 Seaford Meadows Dr,,Seaford,DE,19973,(302)444-8129,SUSSEX,MOBILE PANTRY
500552,FBD-Laurel Commons-CSFP,100 Laurel Commons Lane,,Laurel ,DE,19956,(___)___-____,SUSSEX,MOBILE PANTRY
500553,FBD-Harbour Town Apts-CSFP,34232 Woods Edge Dr., ,Lewes,DE,19958,(302)644-4988,SUSSEX,MOBILE PANTRY
500555,FBD-Ingleside @ Claymore Senior Center CSFP,504 S Clayton Street,,Wilmington ,DE,19801,(302)575-0250,NEW CASTLE,MOBILE PANTRY
500557,FBD-Manna Fellowship-CSFP,733 E 22nd Street,,Wilmington ,DE,19802,(302)798-0964,NEW CASTLE,MOBILE PANTRY
500558,FBD-Quaker Hill-CSFP,200 Washington Street,,Wilmington ,DE,19801,(302)571-0735,NEW CASTLE,MOBILE PANTRY
500559,FBD-Salvation Army Senior Center-CSFP,400 N Orange Strret,,Wilmington ,DE,19802,(302)472-0770,NEW CASTLE,MOBILE PANTRY
500560,FBD-New Castle County Senior Center-CSFP,400 South Street,,New Castle,DE,19720,(302)326-4209,NEW CASTLE,MOBILE PANTRY
500562,FBD-Bridgeville Senior Center-CSFP,414 Market Street,,Bridgeville ,DE,19933,(302)337-8771,SUSSEX,MOBILE PANTRY
500564,FBD-WoodLea Apartment-CSFP,5500 Fairmount Drive,,Wilmington,DE,19808,(302)575-0250,NEW CASTLE,MOBILE PANTRY
